year_x,iso3_o_x,iso3_d_x,Exports,gmt_offset_2020_o_x,gmt_offset_2020_d_x,lndist_x,dist_x,contig_x,comlang_off_x,comlang_ethno_x,comcol_x,col45_x,asean,aifta,international,gdp_o_x,gdp_d_x,tradeflow_comtrade_o_x,tradeflow_comtrade_d_x,tradeflow_imf_o_x,tradeflow_imf_d_x,sum_tf
2020,BRN,PAK,19561.57909,8,5,8.62,5564,0,0,0,1,0,0,0,1,12005825.77,300306331.7,19561.577,71.138,19439.988,70.614,19632.715
2020,BRN,PHL,145569.1426,8,8,7.14,1257,0,0,0,0,0,1,0,1,12005825.77,361751116.3,145569.133,168133.4,146513.359,169220.906,313702.533
2020,BRN,RUS,,8,3,9.08,8762,0,0,0,0,0,0,0,1,12005825.77,1488321875,,9.793,,9.795,9.793
2020,BRN,SGP,1408189.776,8,8,7.17,1298,0,0,1,1,0,1,0,1,12005825.77,345295933.9,1396476.933,783989.671,1404758.5,608299.125,2180466.604
2020,BRN,THA,293695.1585,8,7,7.53,1857,0,0,0,0,0,1,0,1,12005825.77,499681757,293695.151,413904.047,295478.844,375915.125,707599.198
2020,BRN,USA,76113.75703,8,5,9.61,14867,0,0,0,0,0,0,0,1,12005825.77,20893743833,76113.746,90301.86,74963.812,83103.203,166415.606
2020,BRN,VNM,227041.0657,8,7,7.02,1116,0,0,0,0,0,1,0,1,12005825.77,343242570.8,227041.059,276867.146,227584.844,265135.281,503908.205
2020,BRN,ZAF,,8,2,9.21,9948,0,0,0,0,0,0,0,1,12005825.77,335442101.4,,199.732,,186.219,199.732
2020,CAN,ARE,1317775.907,5,4,9.31,11085,0,0,0,0,0,0,0,1,1645423408,358868765.2,1299573.689,1773949.942,1316242.875,1820193.375,3073523.631
2020,CAN,AUS,1592742.991,5,10,9.70,16263,0,1,1,0,0,0,0,1,1645423408,1327836171,1590601.68,1767900.507,1591557.875,1756687.375,3358502.187
2020,CAN,BRN,6886.267772,5,8,9.58,14429,0,0,0,0,0,0,0,1,1645423408,12005825.77,6886.253,5124.191,6874.371,5101.935,12010.444
2020,CAN,CAN,,5,5,7.08,1189,0,0,0,0,0,0,0,0,1645423408,1645423408,,,,,0
2020,CAN,CHL,731214.4399,5,4,9.06,8590,0,0,0,0,0,0,0,1,1645423408,252727193.7,730838.99,799315.04,731380.125,809924.375,1530154.03
2020,CAN,CHN,18860946.71,5,8,9.34,11441,0,0,0,0,0,0,0,1,1645423408,14687673893,18823955.85,21871244.2,18764670,21873152,40695200.05
2020,CAN,COL,589401.27,5,5,8.38,4362,0,0,0,0,0,0,0,1,1645423408,270299982.9,589092.468,751137.356,586060.25,751137.438,1340229.824
2020,CAN,DEU,4492189.342,5,1,8.78,6493,0,0,0,0,0,0,0,1,1645423408,3846413929,3909675.236,5577999.768,4741340.5,5163747.5,9487675.004
2020,CAN,FRA,2771667.867,5,1,8.70,6017,0,1,1,0,0,0,0,1,1645423408,2630317731,2769314.666,3089156.554,2768791,3141500.25,5858471.22
2020,CAN,IDN,1335124.649,5,7,9.67,15806,0,0,0,0,0,0,0,1,1645423408,1058688935,1332248.314,1615455.845,1329104,1615455.875,2947704.159
2020,CAN,IND,2768164.764,5,5.5,9.36,11646,0,1,1,0,0,0,0,1,1645423408,2667687952,2767207.063,2744145.67,2581966.75,2731329,5511352.733
2020,CAN,JPN,9243571.157,5,9,9.25,10367,0,0,0,0,0,0,0,1,1645423408,5040107754,9238761.57,10802203.87,9191419,9856923,20040965.44
2020,CAN,KHM,23434.27791,5,7,9.54,13869,0,0,0,0,0,0,0,1,1645423408,25872798.01,23434.261,55531.301,23312.342,55531.316,78965.562
2020,CAN,KOR,3510071.458,5,9,9.27,10620,0,0,1,0,0,0,0,1,1645423408,1637895803,3485074.185,4374212.963,3448345.25,4381680,7859287.148
2020,CAN,LAO,1905.008408,5,7,9.49,13173,0,0,0,0,0,0,0,1,1645423408,18981800.71,1904.993,,1922.277,2037.613,1904.993
2020,CAN,LKA,177001.8759,5,5.5,9.55,14023,0,0,0,0,0,0,0,1,1645423408,80969683.54,176929.879,207856.884,175421.188,207856.906,384786.763
2020,CAN,MMR,39754.57496,5,6.5,9.49,13290,0,0,0,0,0,0,0,1,1645423408,78930257.23,39731.978,46804.762,39861.27,46800,86536.74
2020,CAN,MYS,576788.132,5,8,9.60,14815,0,0,0,0,0,0,0,1,1645423408,337006023.8,576038.577,720363.304,572114.375,722937.812,1296401.881
2020,CAN,NZL,284097.7171,5,12,9.54,13878,0,1,1,0,0,0,0,1,1645423408,211734532.3,283314.741,381134.274,282840.562,392681.188,664449.015
2020,CAN,PAK,498718.2075,5,5,9.37,11677,0,1,1,0,0,0,0,1,1645423408,300306331.7,498666.376,509598.891,501102.312,509571.562,1008265.267
2020,CAN,PHL,663621.379,5,8,9.49,13225,0,1,1,0,0,0,0,1,1645423408,361751116.3,660686.452,498974.506,662655.25,496918.875,1159660.958
2020,CAN,RUS,471244.2685,5,3,8.92,7504,0,0,0,0,0,0,0,1,1645423408,1488321875,470444.53,835073.267,448044.969,826572.875,1305517.797
